Family,Kingdom,Num_of_CAZymes
PL0,Archaea,25
PL0,Bacteria,1438
PL0,Eukaryota,5
PL0,Viruses,51
PL0,Unclassified,5
PL1,Archaea,25
PL1,Bacteria,5879
PL1,Eukaryota,4180
PL1,Viruses,21
PL1,Unclassified,24
PL10,Bacteria,729
PL10,Unclassified,1
PL11,Archaea,10
PL11,Bacteria,1460
PL11,Eukaryota,4
PL12,Bacteria,1608
PL13,Bacteria,58
PL13,Eukaryota,1
PL14,Archaea,5
PL14,Bacteria,167
PL14,Eukaryota,67
PL14,Viruses,114
PL15,Bacteria,269
PL16,Bacteria,370
PL16,Viruses,69
PL16,Unclassified,2
PL17,Bacteria,791
PL18,Bacteria,36
PL2,Archaea,2
PL2,Bacteria,616
PL20,Bacteria,22
PL20,Eukaryota,32
PL21,Bacteria,58
PL22,Archaea,4
PL22,Bacteria,1886
PL23,Viruses,320
PL23,Unclassified,1
PL24,Bacteria,54
PL25,Archaea,3
PL25,Bacteria,44
PL26,Bacteria,681
PL26,Eukaryota,42
PL27,Bacteria,78
PL27,Eukaryota,11
PL28,Bacteria,27
PL29,Bacteria,219
PL3,Bacteria,1432
PL3,Eukaryota,574
PL30,Bacteria,22
PL31,Bacteria,306
PL31,Unclassified,1
PL32,Bacteria,8
PL33,Archaea,2
PL33,Bacteria,596
PL33,Eukaryota,2
PL34,Bacteria,18
PL35,Bacteria,259
PL35,Eukaryota,28
PL36,Bacteria,54
PL36,Eukaryota,1
PL37,Bacteria,40
PL38,Archaea,1
PL38,Bacteria,1211
PL38,Eukaryota,34
PL39,Bacteria,27
PL4,Bacteria,568
PL4,Eukaryota,349
PL40,Bacteria,155
PL41,Archaea,3
PL41,Bacteria,26
PL41,Eukaryota,1
PL41,Viruses,1
PL42,Bacteria,375
PL42,Eukaryota,49
PL5,Bacteria,1189
PL6,Bacteria,722
PL7,Bacteria,2375
PL7,Eukaryota,23
PL7,Viruses,9
PL8,Archaea,3
PL8,Bacteria,3315
PL8,Eukaryota,29
PL8,Viruses,1
PL9,Archaea,5
PL9,Bacteria,2651
PL9,Eukaryota,29
